,Verfasser,decade,Empfänger,counts
0,"Salm, Constance de",1830.0,"Ladoucette, Jean Charles François, baron de",67
1,"Salm, Constance de",1820.0,"Ladoucette, Jean Charles François, baron de",56
2,"Salm, Constance de",1820.0,"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)",56
3,"Salm, Constance de",1830.0,"Sanson de Pongerville, Jean-Baptiste",51
4,"Salm, Constance de",1810.0,"Francq, Agathe Clémence, baronne de, geb. Pipelet, gen. Minette",51
5,"Salm, Constance de",1830.0,"Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS)",49
6,"Salm, Constance de",1830.0,"Villenave, Mathieu-Guillaume-Thérèse",49
7,"Salm, Constance de",1840.0,"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD)",44
8,"Salm, Constance de",1830.0,"Jullien de Paris, Marc-Antoine",39
9,"Salm, Constance de",1810.0,"Barbier, Antoine-Alexandre",39
10,"Salm, Constance de",1820.0,"Barbier, Antoine-Alexandre",33
11,"Salm, Constance de",1830.0,"Boucharlat, Jean-Louis",28
12,"Salm, Constance de",1830.0,"Montémont, Albert",27
13,"Salm, Constance de",1830.0,"Drais, Pierre (Vertrauensmann der CdS)",27
14,"Salm, Constance de",1840.0,"Ladoucette, Jean Charles François, baron de",26
15,"Salm, Constance de",1820.0,"Villenave, Mathieu-Guillaume-Thérèse",26
16,"Salm, Constance de",1820.0,"Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS)",22
17,"Salm, Constance de",1830.0,"Waldor, Mélanie, geb. Villenave",20
18,"Salm, Constance de",1840.0,"Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS)",20
19,"Salm, Constance de",1840.0,"Sanson de Pongerville, Jean-Baptiste",20
20,"Salm, Constance de",1830.0,"Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux",18
21,"Salm, Constance de",1830.0,"Mirault, Monsieur (Claude-François?, Mitglied des Athénée des arts)",17
22,"Salm, Constance de",1840.0,"Drais, Pierre (Vertrauensmann der CdS)",16
23,"Salm, Constance de",1820.0,"Jullien de Paris, Marc-Antoine",16
24,"Salm, Constance de",1830.0,"Berville, Saint-Albin",16
25,"Salm, Constance de",1830.0,"Hompesch, Thérèse-Angélique, Gräfin von, geb. von Aarschot-Schoonhoven",15
26,"Salm, Constance de",1830.0,"Depping, Georges-Bernard",14
27,"Salm, Constance de",1830.0,"Barbier, Louis-Nicolas",14
28,"Salm, Constance de",1840.0,"Francq, Félix, baron de",14
29,"Salm, Constance de",1830.0,"Châtelain, Monsieur",13
30,"Salm, Constance de",1830.0,"Schepeler, Andreas Daniel Berthold von",13
31,"Salm, Constance de",1830.0,"Sauvo, François",12
32,"Salm, Constance de",1840.0,"Villenave, Mathieu-Guillaume-Thérèse",12
33,"Salm, Constance de",1830.0,"Vien, Rose Céleste, geb. Bache",11
34,"Salm, Constance de",1830.0,"Vanhove, Charlotte, gen. Caroline, verh. Talma, dann verh. comtesse de Châlot",11
35,"Salm, Constance de",1820.0,"Friedrich Wilhelm III., König von Preußen",10
36,"Salm, Constance de",1830.0,"Audiffret, Florimond Louis, comte d'",10
37,"Salm, Constance de",1830.0,"Leroy de Bacre, Félicie, geb. Dalpayet",9
38,"Salm, Constance de",1820.0,"Thurn und Taxis, Therese (Mathilde Amalia), geb. Herzogin zu Mecklenburg(-Strelitz), Fürstin von",9
39,"Salm, Constance de",1820.0,"Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux",9
40,"Salm, Constance de",1820.0,"Mirault, Monsieur (Claude-François?, Mitglied des Athénée des arts)",9
41,"Salm, Constance de",1830.0,"Malo, Charles",9
42,"Salm, Constance de",1830.0,"Laya, Aglaé, in zweiter Ehe Comte",8
43,"Salm, Constance de",1810.0,"Ladoucette, Jean Charles François, baron de",7
44,"Salm, Constance de",1830.0,"Gay, Sophie, baronne de Lupigny, geb. Nichault de la Valette",7
45,"Salm, Constance de",1830.0,"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)",7
46,"Salm, Constance de",1810.0,"Prous, Henry",7
47,"Salm, Constance de",1830.0,"Salis, Sophie de, verh. baronne de Triqueti ",7
48,"Salm, Constance de",1840.0,"Barbier, Louis-Nicolas",7
49,"Salm, Constance de",1820.0,"Ponce, Nicolas",7
50,"Salm, Constance de",1820.0,"Barbier, Louis-Nicolas",7
51,"Salm, Constance de",1840.0,"Jullien de Paris, Marc-Antoine",6
52,"Salm, Constance de",1830.0,"Montferrand, Monsieur de",6
53,"Salm, Constance de",1820.0,"Ritz, Wilhelm",6
54,"Salm, Constance de",1830.0,"Paillet, Alphonse Gabriel Victor (Rechtsanwalt)",6
55,"Salm, Constance de",1830.0,"Naigeon, Céleste",6
56,"Salm, Constance de",1830.0,"Duval, Alexandre, eigentl. Alexandre-Vincent Pineux",6
57,"Salm, Constance de",1830.0,"Paganel, Camille",6
58,"Salm, Constance de",1820.0,"Lantier, Étienne-François de",6
59,"Salm, Constance de",1830.0,"Pougens, Charles de",6
60,"Salm, Constance de",1830.0,"Tissot, Pierre-François",6
61,"Salm, Constance de",1830.0,"Vaulgrenand, comtesse de",5
62,"Salm, Constance de",1820.0,"Berville, Saint-Albin",5
63,"Salm, Constance de",1820.0,"Boucharlat, Jean-Louis",5
64,"Salm, Constance de",1830.0,"Dauriat, Louise",5
65,"Salm, Constance de",1830.0,"Maleszewski, comtesse de",5
66,"Salm, Constance de",1820.0,"Thurot, Jean-François",5
67,"Salm, Constance de",1820.0,"Viennet, Jean-Pons-Guillaume",5
68,"Salm, Constance de",1820.0,"Maison, général, später maréchal Nicolas Joseph",5
69,"Salm, Constance de",1820.0,"Laya, Aglaé, in zweiter Ehe Comte",5
