,FuD-Key,letzte Änderung,Dokumenttyp,URL,Nr.,Verfasser,GND (Verfasser),VIAF (Verfasser),Empfänger,GND (Empfänger),VIAF (Empfänger),Datierung (JJJJ-MM-TT),Alternative Datierung,Ausstellungsort,Geonames (Ausstellungsort),Empfangsort,Geonames (Empfangsort),Vorlage,Vollständigkeit des Archivals,Erläuterung Unvollständigkeit,Umfang in Seiten,Anfang des Briefes,Inhaltliche Stichpunkte,Weitere Personen,GND (Weitere Personen),VIAF (Weitere Personen),Orte,Geonames (Orte),Schlagwörter,Editionen,Vermerk,Bestand,Verweise,Digitalisate: Dateiname (Signatur),Zitierempfehlung,year,decade
100,CdS-b1-000s,2022-08-19 10:18:12,Brief,https://constance-de-salm.de/archiv/#/document/28,C11/S84/020-022,"Salm, Constance de",http://d-nb.info/gnd/116765968,https://viaf.org/viaf/121051,"Barbier, Antoine-Alexandre",http://d-nb.info/gnd/116051795,http://viaf.org/viaf/7386511,1822-04-25,,Aachen,https://www.geonames.org/3247449,,,Abschrift,vollständig,,4,"Qu'il y a longtemps, Monsieur et ami, que je ne vous ai écrit","Aufenthalt der CdS in Aachen zur Verbesserung ihres Gesundheitszustandes. Entschluss der CdS, die Wohnung des M. Fleury in ihrem Pariser Haus zu mieten, trotz eventueller Erinnerungen, da sie nicht als Fremde in Paris wohnen will. Möglicherweise wird sie den August noch auf dem Land verbringen, im Gegenzug kommt SRD im Winter nach Paris. Abgeschlossene Arbeit an einem grausamen Werk. Fußnote der CdS: Eine Abschrift des sich auf Dyck ereigneten Unglücks soll nach den Briefen von Juni 1820–Juni 1821 eingefügt werden). Bitte um Neuigkeiten. Viele Freunde haben auf Rückkehr der CdS gewartet und nicht geschrieben. Interesse der hiesigen Leute für die Diskussion in den französischen Kammern und die Griechen, Türken und Engländer. Arbeit der CdS an einem Werk über die Unruhen in ganz Europa (Fußnote der CdS: „Épitre sur l'esprit“). Schlechte Rezeption eines Stückes der Mme. Gay. Nachfrage zu einer Liste von Personen, die mit der Polizei zusammenarbeiten. Erfolg eines Buches ihres Bruders. Freundschaftsbekundung der CdS und des SRD an B. Nachfrage zu Bs Wohlergehen.","Gail, Sophie, geb. Edmée Sophie Garre; Langlès, Louis-Mathieu; Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS); Drais, Pierre (Vertrauensmann der CdS); Fleury, Monsieur",http://d-nb.info/gnd/116338083; http://d-nb.info/gnd/116725087; http://d-nb.info/gnd/1159074453; http://d-nb.info/gnd/120564734; http://d-nb.info/gnd/1188442287; n/a,http://viaf.org/viaf/71657669; http://viaf.org/viaf/32118316; http://viaf.org/viaf/1847152636116120051820; http://viaf.org/viaf/32148970; http://viaf.org/viaf/24156073846353862446; n/a,"Aachen; Dyck (Schloss), Gde. Jüchen",https://www.geonames.org/3247449; https://www.geonames.org/2894637,Wohnen/Haushalt; Frankreich - Politik; CdS: Épître sur l’esprit et l’aveuglement du siècle (1828); Frankreich - Wahrnehmung,,,Toulon,0,CdS-b1-000s-0.jpg (C11/S84/020 ); CdS-b1-000s-1.jpg (C11/S84/021); CdS-b1-000s-2.jpg (C11/S84/022),"C11/S84/020-022. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/28.",1822.0,1820
108,CdS-b1-0021,2022-08-19 10:18:12,Brief,https://constance-de-salm.de/archiv/#/document/73,C11/S84/117-119,"Salm, Constance de",http://d-nb.info/gnd/116765968,https://viaf.org/viaf/121051,"Barbier, Antoine-Alexandre",http://d-nb.info/gnd/116051795,http://viaf.org/viaf/7386511,1823-08-15,,"Dyck (Schloss), Gde. Jüchen",https://www.geonames.org/2894637,,,Abschrift,vollständig,,4,"Votre lettre du 2 m'a fait le plus grand plaisir, Monsieur et ami, ","Freude über Wohlergehen des B. Guter Artikel im „Journal des débats” über das „Dictionnaire” des B. Bitte um Zusendung zerstreuender Bücher („Marguerite Aimond”; „Voyage” von Arago; neue Bände von Las Cases; Walter Scott). Sorge um die Lage in Spanien. Unzufriedenheit der öffentlichen Meinung mit einem vom König aufgehobenen Gerichtsurteil (die Verurteilung des M. Franck zum Tode wegen Mordes). Positiver Empfang der CdS in Düsseldorf bei Prinz und Prinzessin Friedrich, aber Freude über Rückkehr zu der Ruhe ihres Arbeitskabinetts. Gehirnschlag eines langjährigen Dienstboten des SRD. Arbeitswut der CdS. Absicht, bei ihrer nächsten Reise nach Paris ihre literarischen Angelegenheiten in Ordnung zu bringen. Belastender letzter Aufenthalt, bei dem sie dies nicht erledigen konnte. Wechselnder Gesundheitszustand der CdS, manchmal tagelange Unmöglichkeit, zu lesen oder zu schreiben. Bitte um Neuigkeiten.","Langlès, Louis-Mathieu; Drais, Pierre (Vertrauensmann der CdS); Friedrich Wilhelm III., König von Preußen; Scott, Walter; Arago, Jacques; Las Cases, Emmanuel de ; Duval, Madame; Cubières, Marie Aglaé Despans de; Preußen, Prinz Friedrich von (Neffe Friedrich Wilhelms III.)",http://d-nb.info/gnd/116725087; http://d-nb.info/gnd/1188442287; http://d-nb.info/gnd/118535986; http://d-nb.info/gnd/118612409; http://d-nb.info/gnd/100418694; http://d-nb.info/gnd/119135558; n/a; http://d-nb.info/gnd/1054351716; n/a,http://viaf.org/viaf/32118316; http://viaf.org/viaf/24156073846353862446; http://viaf.org/viaf/774683; http://viaf.org/viaf/95207079; http://viaf.org/viaf/17281333; http://viaf.org/viaf/4980954; n/a; http://viaf.org/viaf/294425741; n/a,Düsseldorf; Trier,https://www.geonames.org/2934246; https://www.geonames.org/2821164,Briefpartner/Werk; Literarisches Geschehen/Neuerscheinung,,,Toulon,0,CdS-b1-0021-0.jpg (C11/S84/117 ); CdS-b1-0021-1.jpg (C11/S84/118); CdS-b1-0021-2.jpg (C11/S84/119),"C11/S84/117-119. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/73.",1823.0,1820
110,CdS-b1-000z,2022-08-19 10:18:12,Brief,https://constance-de-salm.de/archiv/#/document/35,C11/S84/037-038,"Salm, Constance de",http://d-nb.info/gnd/116765968,https://viaf.org/viaf/121051,"Barbier, Antoine-Alexandre",http://d-nb.info/gnd/116051795,http://viaf.org/viaf/7386511,1822-09-14,,"Dyck (Schloss), Gde. Jüchen",https://www.geonames.org/2894637,,,Abschrift,vollständig,,2,"J'ai lu hier dans le journal de Paris, avec le plus grand chagrin possible,  ","Durch Zeitungslektüre Kenntnis der CdS, dass B. seine beiden Stellen verloren hat. Laut dem „Constitutionnel” geht er in Ruhestand. Anteilnahme der CdS und des SRD und Nachfrage zu den näheren Umständen, da B. Familienvater ist und an seine Arbeit gewöhnt war. Verbesserter Gesundheitszustand der CdS und baldige Rückkehr nach Paris. Durch das ihr selbst widerfahrene Unglück gesteigerte Anteilnahme an Unglück ihrer Freunde. Zusatz: Gestriger Artikel im „Journal de Liège”: B. verliert seine Stelle als Kurator der königlichen Bibliothek und im Regierungsrat („conseil d'État”).",,,,,,Karriere/-förderung,,,Toulon,0,CdS-b1-000z-0.jpg (C11/S84/037 ); CdS-b1-000z-1.jpg (C11/S84/038);  ( ),"C11/S84/037-038. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/35.",1822.0,1820
111,CdS-b1-0026,2022-08-19 10:18:12,Brief,https://constance-de-salm.de/archiv/#/document/78,C11/S84/131,"Salm, Constance de",http://d-nb.info/gnd/116765968,https://viaf.org/viaf/121051,"Fallenstein, Georg Friedrich (?)",http://d-nb.info/gnd/11639692X,http://viaf.org/viaf/69680720,1823-10-17,,"Dyck (Schloss), Gde. Jüchen",https://www.geonames.org/2894637,,,Abschrift,vollständig,,1,"J'ai lu, Monsieur, avec le plus vif intérêt l'agréable traduction  ","Freude über gute Übersetzung des „Bouton de rose” ins Deutsche und schmeichelhaften Text über CdS. CdS bietet ihm an, weitere Schriften von ihr zu übersetzen.",,,,,,CdS: Épître à un honnête homme (1820); CdS: Sur la perte des illusions de la jeunesse (1807); CdS: Bouton de rose (1785); CdS: Épître aux femmes (1797),,,Toulon,0,CdS-b1-0026-0.jpg (C11/S84/131),"C11/S84/131. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/78.",1823.0,1820
112,CdS-b1-0016,2022-08-19 10:18:12,Brief,https://constance-de-salm.de/archiv/#/document/42,C11/S84/052,"Salm, Constance de",http://d-nb.info/gnd/116765968,https://viaf.org/viaf/121051,"Preußen, Prinz Friedrich von (Neffe Friedrich Wilhelms III.)",,,1822-12-06,,"Dyck (Schloss), Gde. Jüchen",https://www.geonames.org/2894637,,,Abschrift,vollständig,,1,La Princesse de Salm-Dyck se trouvant tout à coup retenue chez elle  ,Bedauern der Absage eines Besuches des Prinzen aufgrund einer Krankheit der CdS. Auf den Zeitpunkt ihrer Rückkehr verschobener Besuch. Zusendung ihrer „Poésie” und zwei weiterer Schriften.,,,,Düsseldorf,https://www.geonames.org/2934246,"CdS: Poésies (1811, 1817², 1835³)",,,Toulon,0,CdS-b1-0016-0.jpg (C11/S84/052),"C11/S84/052. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/42.",1822.0,1820
115,CdS-b1-001b,2022-08-19 10:18:12,Brief,https://constance-de-salm.de/archiv/#/document/47,C11/S84/062,"Salm, Constance de",http://d-nb.info/gnd/116765968,https://viaf.org/viaf/121051,"Raboteau, Pierre Paul ",http://d-nb.info/gnd/1067648739,http://viaf.org/viaf/314871000,,,,,,,Abschrift,vollständig,"Auf der Abschrift wurde vermerkt, dass der Beginn des Briefes verbrannt wurde.",1,Un mot de politique - on m'écrit que les nouveaux ministres ont fort à faire,"Neue Minister in Frankreich haben viel zu tun. Notwendige öffentliche Ordnung, die langsam erreicht wird. Andere Situation (vermutlich in Deutschland, die Abschrift ist hier lückenhaft) aufgrund der hohen Getreidepreise. Entsetzen über Christen, die auf der Straße von Barbaren ermordet werden. Durch CdS widerfahrenes Unglück gesteigerte Anteilnahme am Unglück anderer Menschen.",,,,,,Frankreich - Politik; Krieg/Konflikt,,,Toulon,0,CdS-b1-001b-0.jpg (C11/S84/062),"C11/S84/062. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/47.",,
143,CdS-b1-006l,2022-08-19 10:18:12,Brief,https://constance-de-salm.de/archiv/#/document/237,C11/S85/395-397,"Salm, Constance de",http://d-nb.info/gnd/116765968,https://viaf.org/viaf/121051,"Thurn und Taxis, Therese (Mathilde Amalia), geb. Herzogin zu Mecklenburg(-Strelitz), Fürstin von",http://d-nb.info/gnd/121734307,http://viaf.org/viaf/32860386,1825-11-14,,,,,,Abschrift,vollständig,,4,"Une chute dangereuse que j'ai faite il y a quelques temps m'a empêchée jusqu'à présent, chère Princesse, de répondre à votre si douloureuse lettre.","Schwere Gesichtsverletzung aufgrund eines Sturzes. Anteilnahme an Thereses Trauer. Nachricht von Tod des Sohnes lässt ihre Trauer um Minette wieder hochkommen. Verlust eines Kindes als der größte vorstellbare Schicksalsschlag. Leichte Linderung im Verlauf der Zeit, Schmerz vergeht nie. Begrüßt Thereses Entscheidung, den Winter in Regensburg zu verbringen, weil jede Trauer durch die Eintönigkeit des Landlebens noch unerträglicher wird. CdS‘ bevorstehende Reise nach Aachen, von dort aus Weiterfahrt nach Paris. Erwartet Ausgang mehrerer Prozesse. Wiedersehen mit Freunden. Immer mehr Todesfälle im Freundeskreis. Alter Brief an Therese, den sie versehentlich nicht abgeschickt hat. Letztlich nicht zustande gekommene Eheschließung zwischen Prinz von Salm (Sohn ihres Cousins Franz zu Salm-Reifferscheidt-Krautheim, den Therese aus Aachen kennt) und einer reichen Dame. Tod der Princesse de Galitzine, Ehefrau des Cousins. Beklagt fehlende Anteilnahme der Familie Salm an ihrer Trauer nach dem Tod Minettes. Dementsprechender Briefwechsel zwischen CdS und ihrer Cousine. Verbitterung CdS‘. PS: SRD derzeit in Koblenz.","Salm-Reifferscheidt-Krautheim, Franz Wilhelm Joseph Fürst von; Galitzin, Marianne, verheiratete Fürstin Salm-Reifferscheidt-Krautheim",http://d-nb.info/gnd/116766506; n/a,http://viaf.org/viaf/47521737; n/a,Aachen,https://www.geonames.org/3247449,,,,Toulon,0,CdS-b1-006l-0.jpg (C11/S85/395); CdS-b1-006l-1.jpg (C11/S85/396); CdS-b1-006l-2.jpg (C11/S85/397),"C11/S85/395-397. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/237.",1825.0,1820
148,CdS-b1-006z,2022-08-19 10:18:12,Brief,https://constance-de-salm.de/archiv/#/document/251,C11/S85/439-443,"Salm, Constance de",http://d-nb.info/gnd/116765968,https://viaf.org/viaf/121051,"Thurn und Taxis, Therese (Mathilde Amalia), geb. Herzogin zu Mecklenburg(-Strelitz), Fürstin von",http://d-nb.info/gnd/121734307,http://viaf.org/viaf/32860386,,,"Dyck (Schloss), Gde. Jüchen",https://www.geonames.org/2894637,,,Abschrift,vollständig,,8,"Chère Princesse, je ne sais plus comment je pourrais excuser mon silence, aussi je n'en dirai que quelques mots.","Seit einem Jahr kein Brief an Therese. Sommer des vergangenen Jahres in Dyck mit zu vielen unangenehmen Besuchen und Abschluss der Arbeiten an einem neuen Werk. Ankunft in Paris, viele neue Bekannte, Gesellschaften an zwei Abenden in der Woche. Besuch SRDs am französischen Hof, CdS‘ Treffen mit der Ehefrau des preußischen Botschafters, Heinrich Freiherr von Werther. Weitere Beschäftigungen in Paris. Überarbeitung und Drucklegung ihres neuesten Werks. Außergewöhnlicher Erfolg. Rückreise nach Brüssel, dort ebenfalls eine Zeitungsbesprechung ihrer Épître. Kritik an ihrem Werk von Liberalen und Ultras. Anerkennung von den Vertretern der Romantik. CdS‘ Stolz auf ihren großen literarischen Erfolg, den ersten seit dem Tod Minettes, der sie verändert hat. Ihre Enkel. Fortsetzung am 1828-06-01: Fragt nach Thereses Situation und ihren Plänen und mahnt zur Unabhängigkeit. Ständeversammlung in Düsseldorf. Preußische Befürchtungen eines zu großen französischen Einflusses im Rheinland. Französische Gewohnheit, über politische Fragen zu diskutieren. CdS beklagt fehlende Gesprächspartner und Diskussionsfreude in Deutschland. Prince Frédéric [F. W.L. von Preußen oder der zuküntige F. W, IV.?] in Düsseldorf, Einladung nach Dyck. Geliebte des Prinzen, Mademoiselle de H… Angelegenheit, die sie mit dem Prinzen klären muss. Louise Kopp derzeit bei CdS. Hilfeersuchen in ihrer Angelegenheit an den König? Kleine Pension für ihre Mutter. Unannehmlichkeiten mit Bruder der Louise. Entschluss, Louise nicht dauerhaft zu beschäftigen. In Zukunft nur noch Sekretäre und keine Hausdamen mehr als Reisebegleitung. Heirat ihrer Nichte mit dem Sohn des Handelsministers, Comte de Saint Cricq. Kein Besuch ihres Bruders. Verse über Umfang des Briefs. Plötzliches Fieber CdS‘. Diktat des Briefendes vom Bett aus.","Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS); Friedrich Wilhelm IV., König von Preußen; Kopp, Frau; Kopp, Louise; Kopp, Herr (Junior); Werther, Heinrich Wilhelm Freiherr von (Botschafter Preußens in Paris, 1824 bis 1837); Théis, Joséphine de, verh. Saint-Cricq, gen. Finette; Preußen, Prinz Friedrich von (Neffe Friedrich Wilhelms III.)",http://d-nb.info/gnd/1159074453; http://d-nb.info/gnd/120564734; http://d-nb.info/gnd/118535994; n/a; n/a; n/a; http://d-nb.info/gnd/121284638; n/a; n/a,http://viaf.org/viaf/1847152636116120051820; http://viaf.org/viaf/32148970; http://viaf.org/viaf/172909814; n/a; n/a; n/a; http://viaf.org/viaf/35308253; n/a; n/a,Brüssel,https://www.geonames.org/2800866,Constance de Salm - Rezeption; CdS: Épître sur l’esprit et l’aveuglement du siècle (1828); Deutschland - Politik; Frankreich - Wahrnehmung,,,Toulon,0,CdS-b1-006z-0.jpg (C11/S85/439); CdS-b1-006z-1.jpg (C11/S85/440); CdS-b1-006z-2.jpg (C11/S85/441); CdS-b1-006z-3.jpg (C11/S85/442); CdS-b1-006z-4.jpg (C11/S85/443),"C11/S85/439-443. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/251.",,
149,CdS-b1-0074,2022-08-19 10:18:12,Brief,https://constance-de-salm.de/archiv/#/document/256,C11/S85/453-455,"Salm, Constance de",http://d-nb.info/gnd/116765968,https://viaf.org/viaf/121051,"Thurn und Taxis, Therese (Mathilde Amalia), geb. Herzogin zu Mecklenburg(-Strelitz), Fürstin von",http://d-nb.info/gnd/121734307,http://viaf.org/viaf/32860386,1829-12-08,[Datum rekonstruiert anhand der zweiten Abschrift CdS/02_4/124-125],Aachen,https://www.geonames.org/3247449,,,Abschrift,vollständig,,4,"Que direz-vous de mon long silence, chère Princesse?","Lange Zeit kein Brief an Therese. Körperliche Beschwerden, CdS diktiert ihre Briefe. Vorbereitung einer Gesamtausgabe ihrer Werke. Seit zwei Monaten in Aachen, am nächsten Tag Abreise nach Paris. In Paris Abschluss der Arbeiten an Gesamtausgabe, Suche eines Pensionats für zwei ihrer Kinder, Suche einer neuen Wohnung. Brief in Paris angefangen, mit nach Dyck genommen, inzwischen verschwunden. Versöhnung Thereses mit ihrem Sohn, gemäß den Gesetzen der Philosophie, auf denen auch das Evangelium aufbaut. Fragt nach Thereses familiärer Situation. Unleserlichkeit des Briefs. Bittet um Brief an ihre Pariser Adresse. SRD bei Prinz zu Wied, Constant (16 Jahre alt) in Begleitung CdS‘. Kopien von Briefen Thereses in der geplanten Memoiren-Ausgabe?","Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD); Francq, Constant de; Wied-Neuwied, Maximilian Alexander Philipp, Prinz zu",http://d-nb.info/gnd/1159074453; n/a; http://d-nb.info/gnd/118632388,http://viaf.org/viaf/1847152636116120051820; n/a; http://viaf.org/viaf/39504469,Brüssel,https://www.geonames.org/2800866,"Wohnen/Haushalt; CdS: Œuvres complètes (1842); CdS: Pensées (1829, 1835, 1846)",,,Toulon,0,CdS-b1-0074-0.jpg (C11/S85/453); CdS-b1-0074-1.jpg (C11/S85/454); CdS-b1-0074-2.jpg (C11/S85/455),"C11/S85/453-455. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/256.",1829.0,1820
157,CdS-b1-006x,2022-08-19 10:18:12,Brief,https://constance-de-salm.de/archiv/#/document/249,C11/S85/435-436,"Salm, Constance de",http://d-nb.info/gnd/116765968,https://viaf.org/viaf/121051,"Thurn und Taxis, Therese (Mathilde Amalia), geb. Herzogin zu Mecklenburg(-Strelitz), Fürstin von",http://d-nb.info/gnd/121734307,http://viaf.org/viaf/32860386,1827-08-02,,"Dyck (Schloss), Gde. Jüchen",https://www.geonames.org/2894637,,,Abschrift,vollständig,,2,"Chère Princesse, j'ai voulu laisser passer les premiers moments de votre douleur avant de vous dire à quel point ma vive amitié y a pris part.","Tod des Ehemanns der Therese, CdS hat davon aus der Zeitung erfahren. Beileid und Anteilnahme. Veränderungen, die sich aus der neuen Situation ergeben? Bitte um Nachrichten. Versicherung ihrer Freundschaft.","Thurn und Taxis, Karl Alexander, Fürst von",http://d-nb.info/gnd/104080892,http://viaf.org/viaf/12733266,,,,,,Toulon,0,CdS-b1-006x-0.jpg (C11/S85/435); CdS-b1-006x-1.jpg (C11/S85/436),"C11/S85/435-436. In: Die Korrespondenz der Constance de Salm (1767-1845). Inventar des Fonds Salm der Société des Amis du Vieux Toulon et de sa Région und des Bestands Constance de Salm im Archiv Schloss Dyck (Mitgliedsarchiv der Vereinigten Adelsarchive im Rheinland e.V.). Elektronische Edition, DHI Paris 2021. https://constance-de-salm.de/archiv/#/document/249.",1827.0,1820
