;Deutsch;VIAF;GND-Gemeinsame Normdatei;Wikidata;Französisch
0;1814;;;https://www.wikidata.org/wiki/Q6943;1814
1;1815;;;https://www.wikidata.org/wiki/Q6948;1815
2;Adel;;;https://www.wikidata.org/wiki/Q134737;noblesse
3;Album;;;https://www.wikidata.org/wiki/Q482994;album
4;Alter;;;https://www.wikidata.org/wiki/Q191089;vieillesse
5;Jugend;;;https://www.wikidata.org/wiki/Q190007;jeunesse
6;Archäologie;;;https://www.wikidata.org/wiki/Q23498;archéologie
7;Armee;;;https://www.wikidata.org/wiki/Q51977;armée
8;Marine;;;https://www.wikidata.org/wiki/Q4508;marine de guerre
9;Aufklärung;;;https://www.wikidata.org/wiki/Q12539;siècle des Lumières
10;Auszeichnung;;;https://www.wikidata.org/wiki/Q618779;distinction
11;Wettbewerb;;;https://www.wikidata.org/wiki/Q841654;compétition
12;Belgien - Politik;;;;
13;Bildende Kunst;;;https://www.wikidata.org/wiki/Q36649;arts visuels
14;Botanik;;;https://www.wikidata.org/wiki/Q441;botanique
15;Gartenkunst;;;;
16;Briefpartner;;;;
17;Werk;;;https://www.wikidata.org/wiki/Q386724;œuvre
18;Buchhandel;;;https://www.wikidata.org/wiki/Q998426;commerce du livre
19;Verleger;;;https://www.wikidata.org/wiki/Q2516866;éditeur ou éditrice
20;CdS: 24 heures (1824);https://viaf.org/viaf/309337271/;;;
21;CdS: A l'Amitié (Jugendwerk);;;;
22;CdS: À ma pendule qui s’est arrêtée (1819?);;;;
23;CdS: Biographie morale de mon album (Publikationsvorhaben um 1825);;;;
24;CdS: Bouton de rose (1785);;;;
25;CdS: Camille ou Amitié et imprudence (1799);;;;
26;CdS: Cantate sur le mariage de Sa Majesté l'Empereur (1810);;;;
27;CdS: Conseils aux femmes;;;;
28;CdS: Correspondance (Editionsvorhaben);;;;
29;CdS: Des Allemands comparés aux Français (1826?);;;;
30;CdS: Discours sur le bonheur que procure l'étude (1817);;;;
31;CdS: Édition générale bzw. oeuvres choisies (Publikationsvorhaben ab 1825);;;;
32;CdS: Éloge de Madame Viot (1802);;;;
33;CdS: Éloge de Martini (1816);;;;
34;CdS: Éloge historique de M. de Lalande (1810);;;;
35;CdS: Éloge historique de M. J. Sedaine (1797);;;;
36;CdS: Épître à un ami (?);;;;
37;CdS: Épître à un honnête homme (1820);;;;
38;CdS: Épître à un jeune auteur (1806);;;;
39;CdS: Épître à un vieil auteur (1809);;;;
40;CdS: Épître à une mère sur l'éducation de sa fille (1797)?;;;;
41;CdS: Épître adressée à l'Empereur Napoléon (1810);;;;
42;CdS: Épître aux femmes (1797);;;;
43;CdS: Épître aux peuples (Publikationsvorhaben);;;;
44;CdS: Épître aux souverains absolus (1831);;;;
45;CdS: Épître sur la France actuelle;;;;
46;CdS: Épître sur la philosophie (1814);;;;
47;CdS: Épître sur la rime (1812);;;;
48;CdS: Épître sur les inconvénients du séjour de la campagne (1808);;;;
49;CdS: Épître sur l’esprit et l’aveuglement du siècle (1828);;;;
50;CdS: Épîtres à Sophie (1801);;;;
51;CdS: Frühe Werke, unterschiedliche (vor 1794);;;;
52;CdS: Je mourrai comme j’ai vécu (1837);;;;
53;CdS: Korrespondenz (Edition);;;;
54;CdS: L'Étude (Jugendwerk);;;;
55;CdS: Lamech et Zelis (Jugendwerk);;;;
56;CdS: Le Kniaz Michel Glinski (1833);;;;
57;CdS: Le temps actuel (Publikationsvorhaben 1842);;;;
58;CdS: Les cinq actes de la vie;;;;
59;CdS: Les droits (unidentifiziert);;;;
60;CdS: Mémoires (Publikationsvorhaben);;;;
61;CdS: Mes soixante ans, ou Mes souvenirs politiques et littéraires (1833);;;;
62;CdS: Mon retour en France (1815);;;;
63;CdS: Notice sur la vie et les œuvres de Mentelle (1839);;;;
64;CdS: Ouvrages divers en prose (1835);;;;
65;CdS: Pensées (1829, 1835, 1846);;;;
66;CdS: Poésies (1811, 1817², 1835³);;;;
67;CdS: Poésies choisies (?);;;;
68;CdS: Rapport sur les fleurs artificielles de la citoyenne Roux-Montagnac (1798);;;;
69;CdS: Rapport sur un ouvrage du Cen. Théremin (1799);;;;
70;CdS: Romances (1798);;;;
71;CdS: Sapho (1794);;;;
72;CdS: Stances sur la mort de Constant (1835);;;;
73;CdS: Stances sur le romantique et la vieille école (1824);;;;
74;CdS: Stances sur le romantique et la vieille école (1924);;;;
75;CdS: Sur Girodet (1825);;;;
76;CdS: Sur la perte des illusions de la jeunesse (1807);;;;
77;CdS: Sur les femmes politiques (1817);;;;
78;CdS: Un regard de l'Amour (Jugendwerk);;;;
79;CdS: Vers à mes amis au moment... (1806);;;;
80;CdS: Vers sur les dissentions des gens de lettres (1797);;;;
81;CdS: Verschiedene Verse (nicht identifiziert);;;;
